Date,Open,Day High,Day Low,Close,Volume,
8/18/2014,1958.36,1958.36,1971.99,1971.74,4.22E+11,
8/19/2014,1972.73,1972.73,1982.57,1981.6,3.94E+11,
8/20/2014,1980.46,1977.68,1988.57,1986.51,3.78E+11,
8/21/2014,1986.82,1986.82,1994.76,1992.37,3.95E+11,
8/22/2014,1992.6,1984.76,1993.54,1988.4,3.78E+11,
8/25/2014,1991.74,1991.74,2001.95,1997.92,3.37E+11,
8/26/2014,1998.59,1998.59,2005.04,2000.02,3.14E+11,
8/27/2014,2000.54,1996.2,2002.14,2000.12,3.42E+11,
8/28/2014,1997.42,1990.52,1998.55,1996.74,3.16E+11,
8/29/2014,1998.45,1994.65,2003.38,2003.37,4.25E+11,
9/2/2014,2004.07,1994.85,2006.12,2002.28,3.99E+11,
9/3/2014,2003.57,1998.14,2009.28,2000.72,3.97E+11,
9/4/2014,2001.67,1992.54,2011.17,1997.65,4.27E+11,
9/5/2014,1998,1990.1,2007.71,2007.71,4.51E+11,
9/8/2014,2007.17,1995.6,2007.17,2001.54,4.12E+11,
9/9/2014,2000.73,1984.61,2001.01,1988.44,4.51E+11,
9/10/2014,1988.41,1982.99,1996.66,1995.69,4.27E+11,
9/11/2014,1992.85,1985.93,1997.65,1997.45,4.00E+11,
9/12/2014,1996.74,1980.26,1996.74,1985.54,5.00E+11,
9/15/2014,1986.04,1978.48,1987.18,1984.13,4.34E+11,
9/16/2014,1981.93,1979.06,2002.28,1998.98,4.42E+11,
9/17/2014,1999.3,1993.29,2010.74,2001.57,4.78E+11,
9/18/2014,2003.07,2003.07,2012.34,2011.36,4.76E+11,
9/19/2014,2012.74,2006.59,2019.26,2010.4,1.40E+12,
9/22/2014,2009.08,1991.01,2009.08,1994.29,4.75E+11,
9/23/2014,1992.78,1982.77,1995.41,1982.77,4.84E+11,
9/24/2014,1983.34,1978.63,1999.79,1998.3,4.86E+11,
9/25/2014,1997.32,1965.99,1997.32,1965.99,5.26E+11,
9/26/2014,1966.22,1966.22,1986.37,1982.85,4.36E+11,
9/29/2014,1978.96,1964.04,1981.28,1977.8,4.22E+11,
9/30/2014,1978.21,1968.96,1985.17,1972.29,5.91E+11,
10/1/2014,1971.44,1941.72,1971.44,1946.16,5.85E+11,
10/2/2014,1945.83,1926.03,1952.32,1946.17,5.13E+11,
10/3/2014,1948.12,1948.12,1971.19,1967.9,5.44E+11,
10/6/2014,1970.01,1958.43,1977.84,1964.82,4.34E+11,
10/7/2014,1962.36,1934.87,1962.36,1935.1,5.19E+11,
10/8/2014,1935.55,1925.25,1970.36,1968.89,6.11E+11,
10/9/2014,1967.68,1927.56,1967.68,1928.21,6.05E+11,
10/10/2014,1925.63,1906.05,1936.98,1906.13,7.57E+11,
10/13/2014,1905.65,1874.14,1912.09,1874.74,6.70E+11,
10/14/2014,1877.11,1871.79,1898.71,1877.7,6.89E+11,
10/15/2014,1874.18,1820.66,1874.18,1862.49,9.27E+11,
10/16/2014,1855.95,1835.02,1876.01,1862.76,7.96E+11,
